id,category,bank_hint,hit@5,hit@10,top1_hit,top1_score,n_docs,question,hit_keywords
F13,fact,standards,False,False,False,1.6339932652011318,2,等保第三级及以上系统需要至少多久进行一次等级测评？,
NS29,fact,standards,False,False,False,1.3242262601852888,1,数据中心的环境温度要求是GB/T 2887哪个章节规定的,
F07,fact,standards,False,False,False,1.6489306510769373,1,声环境功能区中2类区昼间和夜间环境噪声限值分别是多少？,
F06,fact,standards,False,True,False,1.637754113939942,3,供配电系统设计规范的国家标准编号是什么？,GB 50052-2009
F08,fact,standards,False,False,False,1.6438324492276866,1,声环境功能区中1类区昼间和夜间环境噪声限值分别是多少？,
F04,fact,standards,True,True,True,1.6836609716306725,3,信息安全技术网络安全等级保护测评要求的国家标准编号是什么？,GB/T 28448-2019
F03,fact,standards,True,True,True,1.3324144622649867,4,网络安全等级保护基本要求对应的国家标准编号是什么？,GB/T 22239-2019
NB26,fact,general,True,True,True,1.6739322682695814,1,信息安全技术信息系统密码应用基本要求的国家标准编号是什么？,GB/T
NF02,fee,industry,False,False,False,0.0,0,弱电设计费取费标准按什么文件执行？,
NF05,fee,industry,False,False,False,0.0,0,按照东莞市政府投资信息化项目造价指南，设计费占项目总投资的比例范围是多少？,
fee_v7_002,fee,industry,False,True,False,0.0,1,3000万政务信息化项目按省指导书表5-49计算验收评测费，费率和金额分别是多少？,表5-49/V=D×g×(1-Z)
fee_v7_004,fee,mixed,True,True,False,0.0,0,500万软件项目验收测评费，省指导书、佛山和东莞分别应怎么说？,V=D×g×(1-Z)
fee_v7_009,fee,industry,False,False,False,0.0,0,500万项目做全流程评测和只做验收评测，省指导书费率一样吗？,
fee_v7_008,fee,industry,True,True,False,0.0,0,验收测评费怎么计算？请列出省指导书表5-49的完整费率档位。,V=D×g×(1-Z)
NS27,cross,standards,False,False,False,1.6064494039815913,2,等保三级有哪些主要安全要求？,
C07,cross,standards,True,True,False,1.616602751567725,1,等保2.0中安全管理中心的要求与安全通信网络的关系,安全区域边界/集中管控
NC12,cross,standards,False,False,False,1.6723084264537822,3,综合布线系统验收需要满足GB/T 50312和GB/T 21671哪些要求？,
fee_v7_006,cross,industry,False,False,False,0.0,0,三级等保测评收费标准是不是按验收测评费表5-49来算？,
NC11,cross,standards,False,False,False,1.5942890231855826,2,等保三级和等保四级在测评要求上的主要差异有哪些？,
NC13,cross,standards,False,False,False,1.6750172004192332,2,建筑弱电工程中，综合布线系统和火灾报警系统有哪些接口要求？,
O12,open,standards,False,False,False,1.6002440947140797,1,影剧院建筑声学设计中如何处理观众厅的体型设计？,
O13,open,general,False,False,False,1.5131072290087657,1,WiFi网络规划中信道选择的主要考虑因素有哪些？,
O07,open,standards,True,True,False,1.6120104725716153,2,供配电系统中治理谐波的主要措施有哪些？,滤波器
O03,open,standards,True,True,True,1.6182927323446683,3,声学设计中影响观众厅音质的主要参数有哪些？,混响时间/体型设计/噪声控制
O08,open,standards,True,True,True,1.619842360583243,2,信息安全等级保护2.0相比1.0有哪些主要变化？,可信计算
O11,open,industry_docs,True,True,True,0.0,0,政府投资信息化项目的验收流程包括哪些关键环节？,安全测评
NE19,edge,all,False,False,False,0.0,1,???###@@@???,
NE20,edge,standards,False,False,False,0.0,0,DJJBQ等保,
R25,rejection,industry_docs,False,False,False,1.4922421109533182,2,学校礼堂混响时间不达标的整改施工预算每平方米多少钱？,
R06,rejection,all,False,False,False,0.0,0,《红楼梦》中贾宝玉和林黛玉的关系如何解读,
